idx,pixel_row,pixel_column,latitude,longitude
0,1224.0,579.7,44.443151,26.042875
0,1322.0,2530.0,44.443062,26.045449
0,1420.0,5817.0,44.442963,26.049863
0,525.3,8700.0,44.443825,26.053728
0,3668.5,7893.5,44.440823,26.052645
0,2361.7,8236.7,44.442078,26.053105
0,3451.8,6419.0,44.441029,26.050663
0,4703.3,8968.7,44.439823,26.054090
0,5707.3,9262.7,44.438864,26.054484
0,5948.0,9057.3,44.438622,26.054208
0,6496.0,8293.0,44.438109,26.053185
0,6320.0,7470.0,44.438300,26.052072
0,5566.7,7548.7,44.439000,26.052182
0,4781.8,7101.2,44.439751,26.051582
0,4459.3,6824.7,44.440056,26.051220
0,5454.5,6507.5,44.439122,26.050783
0,3881.0,5220.0,44.440619,26.049056
0,4933.5,5940.5,44.439619,26.050021
0,5688.0,5419.3,44.438892,26.049328
0,5325.0,4359.0,44.439239,26.047901
0,4936.3,3123.7,44.439604,26.046250
0,6338.7,4016.0,44.438262,26.047443
0,6562.0,3840.0,44.438056,26.047209
0,7234.7,3424.0,44.437418,26.046646
0,7266.7,3633.7,44.437380,26.046930
0,7316.7,3831.3,44.437332,26.047197
0,4086.0,7384.0,44.437270,26.047535
0,6372.0,5453.3,44.438240,26.049371
0,6292.0,5585.0,44.438318,26.049547
0,6486.0,5540.0,44.438130,26.049483
0,6706.5,6667.5,44.437926,26.050994
0,6987.7,7190.7,44.437644,26.051706
0,6891.3,7327.3,44.437740,26.051883
0,7016.7,5432.7,44.437613,26.049345
0,7609.5,5283.0,44.437051,26.049141
0,7913.0,5568.5,44.436749,26.049531
0,7965.5,5797.5,44.436689,26.049843
0,8033.0,6004.5,44.436633,26.050114
0,8199.5,6130.5,44.436477,26.050282
0,8378.0,6047.3,44.436313,26.050172
0,8689.0,5509.0,44.436007,26.049451
0,8688.0,5306.0,44.436012,26.049175
0,8696.7,4948.0,44.436003,26.048696
0,8995.3,4892.0,44.435714,26.048617
0,9253.3,4650.7,44.435467,26.048299
0,7114.0,2000.0,44.437516,26.044741
0,7730.7,2460.7,44.436927,26.045363
0,9361.0,2288.0,44.435381,26.045123
0,9126.0,2276.0,44.435604,26.045106
0,9714.0,2295.0,44.435039,26.045134
0,9139.0,3684.0,44.435573,26.047003
